"Afghanistan", "+93"
"Albania", "+355"
"Algeria", "+213"
"Andorra ", "+376"
"Angola ", "+244"
"Antarctica", "+672"
"Argentina", "+54"
"Armenia ", "+374"
"Aruba", "+297"
"Ascension", "+247"
"Australia ", "+61"
"Australian External Territories", "+672"
"Austria", "+43"
"Azerbaijan", "+994"
"Bahrain", "+973"
"Bangladesh", "+880"
"Belarus", "+375"
"Belgium", "+32"
"Belize", "+501"
"Benin", "+229"
"Bhutan", "+975"
"Bolivia ", "+591"
"Bosnia & Herzegovina ", "+387"
"Botswana ", "+267"
"Brazil ", "+55"
"Brunei Darussalam", "+673"
"Bulgaria", "+359"
"Burkina Faso ", "+226"
"Burundi", "+257"
"Cambodia", "+855"
"Cameroon", "+237"
"Canada", "+1"
"Cape Verde Islands", "+238"
"Central African Republic", "+236"
"Chad ", "+235"
"Chatham Island New Zealand)", "+64"
"Chile ", "+56"
"China PRC)", "+86"
"Christmas Island", "+61-8"
"Cocos-Keeling Islands", "+61"
"Colombia ", "+57"
"Comoros", "+269"
"Congo", "+242"
"Congo, Dem. Rep. of? former Zaire) ", "+243"
"Cook Islands", "+682"
"Costa Rica", "+506"
"Cote d""Ivoire Ivory Coast)", "+225"
"Croatia", "+385"
"Cuba", "+53"
"Cuba Guantanamo Bay)", "+5399"
"Curacao", "+599"
"Cyprus", "+357"
"Czech Republic", "+420"
"Denmark", "+45"
"Diego Garcia", "+246"
"Djibouti", "+253"
"East Timor", "+670"
"Easter Island", "+56"
"Ecuador ", "+593"
"Egypt", "+20"
"El Salvador", "+503"
"Equatorial Guinea", "+240"
"Eritrea", "+291"
"Estonia", "+372"
"Ethiopia", "+251"
"Falkland Islands Malvinas)", "+500"
"Faroe Islands", "+298"
"Fiji Islands", "+679"
"Finland", "+358"
"France", "+33"
"French Antilles", "+596"
"French Guiana", "+594"
"French Polynesia", "+689"
"Gabonese Republic", "+241"
"Gambia", "+220"
"Georgia", "+995"
"Germany", "+49"
"Ghana ", "+233"
"Gibraltar ", "+350"
"Greece ", "+30"
"Greenland ", "+299"
"Guadeloupe", "+590"
"Guantanamo Bay", "+5399"
"Guatemala ", "+502"
"Guinea-Bissau ", "+245"
"Guinea", "+224"
"Guyana", "+592"
"Haiti ", "+509"
"Honduras", "+504"
"Hong Kong", "+852"
"Hungary ", "+36"
"Iceland", "+354"
"India", "+91"
"Indonesia", "+62"
"Iran", "+98"
"Iraq", "+964"
"Ireland", "+353"
"Israel ", "+972"
"Italy ", "+39"
"Japan ", "+81"
"Jordan", "+962"
"Kazakhstan", "+7"
"Kenya", "+254"
"Kiribati ", "+686"
"Korea North)", "+850"
"Korea South)", "+82"
"Kuwait ", "+965"
"Kyrgyz Republic", "+996"
"Laos", "+856"
"Latvia ", "+371"
"Lebanon", "+961"
"Lesotho", "+266"
